longevity_hours,sillage_score,top_note_count,price_usd,concentration_percent,fragrance_family,brand_tier,gender_target,contains_alcohol,limited_edition,perfume_category,longevity_hours_outlier_flag,sillage_score_outlier_flag,top_note_count_outlier_flag,price_usd_outlier_flag,concentration_percent_outlier_flag
5.96,5.8,5,103.71,17.04,Floral,Designer,Men,0,0,Eau De Parfum,False,False,False,False,False
8.85,7.7,4,122.93,15.28,Oriental,Luxury,Men,1,0,Eau De Toilette,False,False,False,False,False
0.54,2.67,3,105.21,12.69,Fresh,Designer,Men,0,0,Eau De Toilette,False,False,False,False,False
9.83,8.06,7,165.64,20.95,Floral,Luxury,Women,1,0,Eau De Parfum,False,False,False,False,False
11.03,9.72,5,279.0,25.0,Oriental,Luxury,Women,1,0,Perfume Extract,False,False,False,False,False
9.11,8.14,1,84.19,21.61,Oriental,Designer,Unisex,1,0,Eau De Parfum,False,False,False,False,False
12.8,10.0,1,209.21,25.12,Floral,Designer,Women,1,1,Perfume Extract,False,False,False,False,False
1.12,1.68,5,14.01,1.5,Fresh,Drugstore,Women,1,0,Eau De Cologne,False,False,False,False,False
4.72,7.0,10,102.03,3.76,Floral,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
3.84,6.35,7,162.43,20.6,Floral,Designer,Women,1,0,Eau De Parfum,False,False,False,False,False
3.1,4.0,10,46.03,9.87,Fresh,Unknown,Men,1,0,Eau De Toilette,False,False,False,False,False
9.36,6.14,7,164.72,20.19,Floral,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
10.05,6.09,6,166.2,23.3,Oriental,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
6.48,1.0,3,80.1,15.74,Floral,Designer,Unisex,0,0,Eau De Toilette,False,False,False,False,False
5.39,7.74,6,46.8,12.31,Oriental,Drugstore,Unisex,1,0,Eau De Parfum,False,False,False,False,False
10.07,6.85,6,70.34,15.86,Woody,Niche,Men,0,0,Eau De Parfum,False,False,False,False,False
6.05,4.01,5,93.62,9.05,Woody,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
12.92,7.52,1,294.32,24.36,Woody,Niche,Women,1,0,Perfume Extract,False,False,False,True,False
6.78,4.99,10,165.55,6.59,Floral,Drugstore,Women,1,0,Eau De Toilette,False,False,False,False,False
4.42,2.32,9,10.0,3.72,Oriental,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
6.42,9.56,1,98.46,13.76,Fresh,Niche,Men,1,0,Eau De Parfum,False,False,False,False,False
0.5,1.62,10,65.36,2.47,Fresh,Designer,Women,1,0,Eau De Cologne,False,False,False,False,False
6.58,6.99,1,134.93,14.04,Oriental,Drugstore,Women,1,0,Eau De Parfum,False,False,False,False,False
8.3,4.83,7,55.73,8.44,Woody,Unknown,Unisex,1,0,Eau De Toilette,False,False,False,False,False
0.5,5.11,10,177.25,10.18,Fresh,Designer,Men,1,0,Eau De Toilette,False,False,False,False,False
5.53,2.02,7,124.13,21.82,Floral,Designer,Women,0,1,Eau De Parfum,False,False,False,False,False
